Timestamp,What is your age group,What is your gender?,Employment status?,What is your education level?,How many times did you test positive for COVID-19 during the pandemic?,"If you had COVID, how did the fact that you became ill impact your job?",How many vaccinations did you receive?,How would you rank the government's public support during Covid (1  to 5 = very satisfied) [Finance (Support)],How would you rank the government's public support during Covid (1  to 5 = very satisfied) [medical(vaccines)],How would you rank the government's public support during Covid (1  to 5 = very satisfied) [Public safety (social distancing)],How effective did you find the lockdown in Singapore? (rank 1 Least to 5 Most),How would you rate the usability of the Tracetogether app?,How frequently did you use the TraceTogether app or Token to check into venues in Singapore?,Did the TraceTogether app help you to maintain social distancing during the pandemic? ,Did the TraceTogether app help reduce the spread of COVID-19?,Did the government provide enough information about the TraceTogether app and its benefits?,Did the TraceTogether app enhance your sense of participation and engagement in the fight against COVID-19?,Did the TraceTogether app help you to feel more connected with other citizens during the pandemic?,Did the TraceTogether app help you to feel more connected with the government during the pandemic?,Do you think the TraceTogether app contributed to a safer environment for citizens during the pandemic?,Do you think the government should invest in more smart city technologies like the TraceTogether app in the future?,Should the government involve citizens more in developing and implementing smart city technologies in the future?,What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Citizens' participation],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Public-private partnership],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Improved lifestyle],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Better healthcare],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Improved public transport],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Better education opportunities],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [More job availability],What factors motivate you to participate in smart city projects? [Ranking form 1 Least - 5 Most] [Other],"If you selected ""Other"", can you describe here?","Some cities have direct reporting or claim service for citizens. Other have social media channels where citizens can share opinions. There may be projects where groups or neighbourhoods are included in innovation, or even startups given opportunities to launch solutions through the city platform and support.

How would you prefer citizens' participation to be offered in your city?",What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [Survey],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [City living labs],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [Interviews],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [feedback and report solutions],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [inclusion with incentives],What are the most effective ways to involve citizens in developing smart city projects? [rank 1 Least - 5 Most] [others],How important is the government to involve citizens in developing smart city projects? [1 Least - 5 Most],How would you rate the effectiveness of the government in involving citizens in developing smart city projects? [1 Least - 5 Most],What factors influence citizens' willingness to participate in smart city projects? [enter] ,How are you communicating or giving feedback to the local government?,"How satisfied are you with the responses from the local government, from your feedback or inquiries? [1 Least - 5 Most]",What recommendations do you have for improving citizens' participation in smart city projects in Singapore? [enter] 
3/19/2023 13:08:55,18-24,Male,Employed full time,Bachelor’s degree,1,(4) No impact,2,2 Not satisfied,3,3,4,3,once a month,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,4,3,4,5 Most,3,4,4,1 Least,,"
",2,3,4,4,5 Most,1 Least,5,4,"
","Social Media (Facebook, Twitter, etc), Government issued app, Government website",4,"
"
3/19/2023 13:36:45,45-54,Male,Employed full time,"Some college credit, no degree",1,(4) No impact,2,4,4,4,4,4,more than twice a week,Yes,No,No,Maybe,No,No,Maybe,Maybe,Agree,4,3,5 Most,5 Most,4,5 Most,5 Most,5 Most,Complete Government Transparency ,Depends on the topic,4,3,5 Most,5 Most,5 Most,5 Most,5,4,Governments not being greedy ,"Social Media (Facebook, Twitter, etc)",3,"None, all data from participants will be used by government to make more money for them with new restrictions in place so they come up on top. "
3/19/2023 13:49:38,45-54,Female,Employed full time,Master’s degree,1,(4) No impact,3,3,5 Very satisfied,3,3,3,every day,No,No,No,No,No,No,No,Maybe,Strongly agree,5 Most,5 Most,3,4,4,4,4,1 Least,Politicians should be upfront about the use of data collected. In Singapore firsr we were told it would not be used in police investigations only for another politician to comtradict this earlier statmenrt.,For the party in power to be less draconian in its use of laws to shut down public discourse online. We are legislated to the hilt (please see POFMA),3,3,5 Most,5 Most,3,3,4,1,Acknowledge that a diversity of views exist.,Government website,1,"For the government to be receptive. Do nor bulldoze over our views. Politicians do not have a monopoly on useful, intelligent ideas."
3/19/2023 14:31:00,35-44,Male,Employed full time,Master’s degree,5 or more,(4) No impact,3,5 Very satisfied,5 Very satisfied,3,1,1,every day,No,No,Yes,Maybe,No,No,No,No,Strongly agree,5 Most,4,4,5 Most,3,3,4,4,NA,Online plaform to submit idea and vote ,4,5 Most,4,3,2,3,5,4,Project that impact their daily life ,"Social Media (Facebook, Twitter, etc), Government website, Local community center (local MP)",3,NA
3/19/2023 15:28:27,55-64,Female,Employed part time,Master’s degree,1,(4) No impact,4,4,4,4,4,3,every day,Maybe,Maybe,Maybe,Maybe,No,No,Maybe,Maybe,Strongly agree,5 Most,4,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,,X,2,2,3,3,3,3,3,3,X,"Social Media (Facebook, Twitter, etc), Government issued app, Government website, Local community center (local MP)",3,X
3/19/2023 17:11:14,35-44,Female,Employed full time,Bachelor’s degree,1,(4) No impact,3,3,4,4,5,4,every day,Yes,Yes,Maybe,Yes,No,No,Yes,Yes,Agree,4,3,3,3,3,4,4,3,Na,Constant and consistent updates to citizens to make us feel at ease. More use of easy to adopt technology ,3,1 Least,2,3,3,1 Least,4,4,"Convenience to participate, the what’s in it for citizens should be obvious beneficial for them","Social Media (Facebook, Twitter, etc)",3,Can’t think of any specific recommendations now 
3/19/2023 19:32:43,18-24,Male,A student,Bachelor’s degree,1,(2) Reduced work,3,5 Very satisfied,5 Very satisfied,5 Very satisfied,4,4,once a month,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,5 Most,4,5 Most,5 Most,5 Most,4,5 Most,1 Least,,online activity,5 Most,4,4,5 Most,5 Most,5 Most,5,5,easy to join or hardly to get feedback,"Government issued app, Government website",5,feedback quickly
3/19/2023 19:49:13,18-24,Male,A student,Bachelor’s degree,0,(2) Reduced work,3,1 Not applicable,5 Very satisfied,5 Very satisfied,5,5,every day,Yes,Yes,Maybe,Yes,No,No,Yes,Yes,Agree,3,3,4,5 Most,5 Most,5 Most,4,5 Most,"Greener city, cleaner environment, animal health and safety","Physical townhall meetings with people who are motivated to join, maybe even mandatory random invitations to citizens. ",3,5 Most,4,3,5 Most,3,5,2,Do they feel the direct impact? Monetary or social benefits? ,Local community center (local MP),2,Implement the general population a little bit more.
3/19/2023 20:41:27,18-24,Female,A student,"Some college credit, no degree",1,(4) No impact,3,3,4,4,5,5,every day,Maybe,Maybe,Yes,No,Maybe,No,Yes,Maybe,Agree,4,4,5 Most,5 Most,5 Most,5 Most,5 Most,4,agreement by the government to not leak our information,fun booths,3,4,3,4,4,3,5,4,incentives or by making it compulsory,"Social Media (Facebook, Twitter, etc)",4,more interactive pop-ups
3/19/2023 21:59:39,55-64,Female,Employed part time,Master’s degree,0,(4) No impact,3,3,3,3,5,5,more than twice a week,Yes,Yes,Maybe,Yes,Maybe,Maybe,Yes,Maybe,Strongly agree,4,3,4,4,4,4,4,1 Least,Better promotion of the government initiatives ,Involve neighbourhoods,4,4,4,4,5 Most,2,5,3,Knowledge and understanding about projects and how it impacts citizens ,Local community center (local MP),3,Roadshows in community clubs to make citizens better understand projects 
3/20/2023 8:47:39,55-64,Female,Employed full time,Master’s degree,1,(4) No impact,3,1 Not applicable,3,3,5,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,3,2,3,3,3,3,3,1 Least,,Social media,2,2,3,3,3,1 Least,5,5,Awareness ,"Social Media (Facebook, Twitter, etc)",3,Incentives 
3/20/2023 18:16:20,18-24,Male,A student,"Some college credit, no degree",0,(4) No impact,3,1 Not applicable,3,2 Not satisfied,3,4,every day,Maybe,Maybe,Yes,Yes,No,Yes,Yes,Yes,Agree,3,2,3,3,3,3,4,3,Anyway that benefits environmental causes,More enthusiastic ,3,4,3,4,4,3,4,3,Enthusiasm,"Government issued app, Government website",3,Present the changes and benefits that could bring when we develop the smart city
3/20/2023 22:15:33,55-64,Male,Self-employed,Master’s degree,1,(4) No impact,4,2 Not satisfied,3,3,3,3,more than twice a week,No,Maybe,Yes,Yes,Yes,No,Yes,Yes,Strongly agree,3,3,4,4,4,3,3,4,Government services can be accessed quickly without the usual merry-go-round of trying to uncover who to contact,"There are already initiatives at the ""grassroots"" level in Singapore, for example the ''Conversations"" series, where govt reps meet and sit in with ""selected"" citizens and residents.  The key is for the govt to take feedback seriously and act on it.  Often the feeling is the govt is only going through a paper exercise and providing lip service.",3,4,3,4,4,3,5,2,What's in it for them ultimately?  How would their lives change for the better?,I very rarely do - for the reasons stated above,1,This is a tough one.  This country is organised from the top down.  Citizens/residents have extremely little leeway to effect any kind of change.  
3/21/2023 10:47:37,45-54,Male,Self-employed,Bachelor’s degree,0,(4) No impact,3,5 Very satisfied,5 Very satisfied,4,4,3,every day,No,Maybe,Maybe,No,No,No,Maybe,Maybe,Agree,3,3,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,NA,working groups/feedback model,4,3,4,4,4,1 Least,4,4,benefits to self and community,"Social Media (Facebook, Twitter, etc), email",3,NA
3/21/2023 23:09:22,25-34,Male,Self-employed,Bachelor’s degree,0,(4) No impact,2,2 Not satisfied,3,4,4,5,more than twice a week,Maybe,Yes,Yes,Maybe,No,Maybe,Maybe,Yes,Strongly agree,5 Most,5 Most,4,5 Most,4,5 Most,5 Most,1 Least,  ,"Direct reporting or claim services can be very useful for citizens who need to report a problem or request assistance from the city, social media channels can be an excellent way for citizens to share their opinions and feedback on city issues. This method is often more accessible and inclusive, as it allows for broader participation and engagement, Innovation projects that include groups or neighbourhoods can be an effective way to involve citizens in shaping city policies and decisions. By giving citizens a more active role in the process, the city can benefit from diverse perspectives and creative solutions, and finally, providing opportunities for startups to launch solutions through the city platform can encourage innovation and entrepreneurship while solving city problems. This approach can bring fresh ideas and solutions to complex problems. Ultimately, the best approach for citizen participation in a city will depend on the specific needs and priorities of the community. A combination of different approaches ",4,5 Most,5 Most,5 Most,5 Most,1 Least,3,4,"There are several factors that can influence citizens' willingness to participate in smart city projects. Here are some of the most important ones:

Awareness: Citizens need to be aware of the smart city project and its potential benefits to their lives. If they don't understand the project, they are less likely to participate.

Perceived usefulness: Citizens must perceive that the smart city project will be useful to them in some way, such as improving their quality of life, reducing traffic congestion, or providing more efficient public services.

Perceived ease of use: If citizens perceive the smart city project as easy to use and access, they are more likely to participate.

Trust: Citizens need to trust the institutions and entities that are behind the smart city project. If they have concerns about data privacy or security, for example, they may be hesitant to participate.

Incentives: Citizens may be more willing to participate if they receive incentives, such as discounts on services or products, or access to exclusive events.

Community involvement: Citizens are more likely to participate if they feel like they are part of a larger community effort. Smart city projects that involve citizen participation in decision-making or problem-solving can help create a sense of ownership and pride.

Education: Education and awareness campaigns can help citizens understand the importance of the smart city project and their role in it, which can increase participation.","Social Media (Facebook, Twitter, etc)",3,"Singapore is a city-state that has already made significant progress in developing smart city projects. However, there is always room for improvement in terms of citizen participation. Here are some recommendations to increase citizens' participation in smart city projects in Singapore:

Increase Awareness: There is a need to increase awareness of smart city projects among citizens in Singapore. This can be achieved through various channels such as public forums, workshops, exhibitions, and social media campaigns.

Encourage Feedback: Smart city projects should be designed with citizen feedback in mind. Citizens should be encouraged to provide feedback on the projects, and the feedback should be taken into account in the design and implementation of the projects.

Empower Citizens: Citizens should be empowered to participate in smart city projects through various means such as online portals, mobile applications, and other engagement platforms. The platforms should be user-friendly, and citizens should be able to participate easily.

Promote Trust: The government and private sector partners should work together to promote trust among citizens in smart city projects. This can be achieved by being transparent about data usage, security, and privacy policies.

Incentives: Providing incentives can encourage citizens to participate in smart city projects. For example, discounts on public services, free Wi-Fi, or rewards for providing feedback can motivate citizens to participate.

Education: Education and awareness campaigns can help citizens understand the benefits of smart city projects and their role in them. These campaigns can be conducted through various channels such as schools, universities, and community centers.

Collaboration: Collaboration between government agencies, private sector partners, and citizens is critical to the success of smart city projects. This collaboration can help to identify issues, co-create solutions, and improve the overall quality of life in Singapore."
3/22/2023 19:08:08,45-54,Female,Self-employed,Bachelor’s degree,1,(2) Reduced work,3,4,5 Very satisfied,5 Very satisfied,5,5,every day,No,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,Agree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,,Social media ,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,5,4,Bring convenience in cost effective ways,"Social Media (Facebook, Twitter, etc)",3,Not sure 
3/22/2023 21:19:08,25-34,Male,Employed full time,Bachelor’s degree,1,(4) No impact,3,3,5 Very satisfied,5 Very satisfied,4,5,every day,Maybe,Maybe,Maybe,No,No,No,Yes,Yes,Strongly agree,5 Most,4,4,4,4,5 Most,5 Most,1 Least,,Run collaborative programs or Smart Nation Hackathons to collate and analyse data to create A digital twin of items,3,4,5 Most,5 Most,5 Most,1 Least,5,3,Unfortunately no one here is gonna do with without any monetary incentive,Doesn’t matter they don’t follow through,3,Smart building management and centralised cooling for a building for reduced energy consumption. We can also consider data transparency in non invasive monitoring like traffic and the city so that we can harness collective intelligence to address traffic and manage overcrowded areas for improved movement across key areas like CBD
3/27/2023 11:15:08,45-54,Male,Self-employed,Master’s degree,0,(4) No impact,5 or more,2 Not satisfied,5 Very satisfied,4,4,4,more than twice a week,Maybe,No,No,Yes,Maybe,No,Yes,No,Agree,5 Most,3,5 Most,5 Most,5 Most,4,4,4,Connectivity to other aspects of your life. ,Online forum that's is accessible to everyone and there is a timely and effective response from the relevant government body. ,5 Most,3,4,5 Most,3,5 Most,5,5,"Clear indication of the desired outcomes at the start of the project. How it would benefit them, save time, reduce waste or environmental enhancement. ",Government issued app,3,"An acknowledgement of citizen's participation in surveys. Eg, your participation in survey X led us to pursue this solution in resolving this problem. "
3/29/2023 7:42:33,45-54,Female,Out of work and looking for work,Bachelor’s degree,1,(2) Reduced work,3,5 Very satisfied,5 Very satisfied,5 Very satisfied,4,4,every day,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Maybe,Yes,Agree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,4,,NA,5 Most,5 Most,5 Most,5 Most,5 Most,4,5,5,NA,"Government issued app, Local community center (local MP)",3,NA
4/19/2023 17:15:50,45-54,Male,Employed full time,Bachelor’s degree,1,(4) No impact,4,5 Very satisfied,5 Very satisfied,5 Very satisfied,5,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,4,4,4,4,4,4,4,1 Least,NA,NA,4,4,3,4,4,1 Least,4,4,incentives,Government website,4,NA
4/19/2023 17:24:18,45-54,Male,Employed full time,Trade/technical/vocational training,1,(4) No impact,4,1 Not applicable,5 Very satisfied,5 Very satisfied,5,5,every day,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly agree,5 Most,1 Least,5 Most,5 Most,5 Most,5 Most,5 Most,1 Least,,NIL,5 Most,1 Least,1 Least,1 Least,5 Most,1 Least,5,5,Time,"Social Media (Facebook, Twitter, etc), Government issued app",5,NIL
4/19/2023 17:31:39,25-34,Female,Employed full time,Bachelor’s degree,1,(4) No impact,3,1 Not applicable,3,3,4,4,more than twice a week,Maybe,Maybe,Maybe,Yes,Maybe,Maybe,Yes,Maybe,Neutral,2,2,3,3,3,3,3,1 Least,,Website,3,1 Least,1 Least,1 Least,3,1 Least,3,3,Something that will benefit them,Did not do any,3,Allowing citizens to understand what will they gain from it
4/20/2023 20:59:15,45-54,Prefer not to say,Employed full time,Bachelor’s degree,2,(4) No impact,3,1 Not applicable,2 Not satisfied,2 Not satisfied,1,1,every day,No,No,No,No,No,No,No,No,Neutral,2,3,3,3,3,2,1 Least,2,Faster access to services ,Through incentives and rebates,1 Least,3,3,3,5 Most,4,4,3,Direct monetary benefits I.e. Savings on efficient transport system ,"Social Media (Facebook, Twitter, etc)",2,More participation in grassroots
4/21/2023 8:14:02,45-54,Prefer not to say,Employed full time,Bachelor’s degree,1,(2) Reduced work,2,3,3,3,5,5,every day,Maybe,Maybe,Maybe,No,No,No,No,Maybe,Strongly agree,4,3,4,4,4,4,4,1 Least,,alread covered,3,4,3,4,4,1 Least,5,5,benefits,"Government website, Local community center (local MP)",5,none for now
4/21/2023 8:47:08,45-54,Female,Employed full time,Bachelor’s degree,1,(4) No impact,3,1 Not applicable,3,3,5,5,twice a month,Maybe,Maybe,Yes,Maybe,Maybe,Maybe,Yes,Yes,Agree,5 Most,3,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,Na,"Survey, community discussion ",5 Most,5 Most,3,3,5 Most,1 Least,5,5,Na,"Social Media (Facebook, Twitter, etc), Local community center (local MP)",3,Listen to all types of people
4/21/2023 9:35:12,25-34,Female,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",2,(2) Reduced work,3,5 Very satisfied,5 Very satisfied,5 Very satisfied,5,5,every day,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Neutral,2,1 Least,5 Most,4,3,3,3,3,,"via phone, survey forms.",2,1 Least,3,4,5 Most,3,5,4,people around them/incentives,"Social Media (Facebook, Twitter, etc), Local community center (local MP)",5,"education, for elderly who may not be so accepting."
4/21/2023 14:16:56,45-54,Female,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",2,(3) More work,3,1 Not applicable,3,3,3,3,more than twice a week,Maybe,Yes,Maybe,Yes,No,Yes,Yes,Maybe,Agree,4,4,4,4,4,4,4,1 Least,,As for now all is good ,4,4,3,5 Most,5 Most,1 Least,5,3,Stability and sustainability ,Government website,4,None as for now 
4/22/2023 4:27:23,45-54,Female,Employed full time,Trade/technical/vocational training,0,(4) No impact,3,3,3,3,5,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,4,4,4,4,4,4,4,4,Person to person interaction ,neighbourhood gatherings ,3,5 Most,5 Most,4,5 Most,5 Most,5,5,person to person interaction ,"Government issued app, Local community center (local MP)",5,person to person interaction 
4/22/2023 6:07:19,45-54,Female,Employed full time,Bachelor’s degree,1,(4) No impact,4,3,5 Very satisfied,5 Very satisfied,5,3,every day,No,No,Yes,No,No,No,No,Maybe,Agree,3,1 Least,4,4,4,4,1 Least,5 Most,Help a friend who is involved in this project ,Online survey like this,4,1 Least,2,2,4,4,5,4,"Openness to ideas, meaningfulness of the project and how it impacts me personally ","Social Media (Facebook, Twitter, etc)",5,Nil
4/22/2023 10:41:35,35-44,Male,Employed full time,Bachelor’s degree,1,(4) No impact,4,3,3,2 Not satisfied,4,3,more than twice a week,Maybe,Maybe,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Strongly agree,5 Most,3,5 Most,5 Most,5 Most,5 Most,5 Most,3,N.A,As much as possible,3,3,3,3,5 Most,1 Least,5,4,Benefit to the society,"Social Media (Facebook, Twitter, etc)",4,Incentives and benefits for the society
4/22/2023 23:49:48,55-64,Male,Self-employed,"Some high school, no diploma",0,(2) Reduced work,2,4,5 Very satisfied,4,4,4,every day,Maybe,Maybe,Yes,Yes,No,Maybe,Yes,Maybe,Strongly agree,4,3,5 Most,4,5 Most,5 Most,5 Most,5 Most,That the smart city projects can make living in the city more green environmentally sustainable,An open platform where both citizens and companies can suggest ideas and projects that are then evaluated for feasibility and checked for popularity through polls of the citizens.,4,3,4,5 Most,5 Most,3,5,3,First of all that the citizens hear about it in a way where the projects are easily understood as to content and what role one may play in their implementation,Some times directly when speaking with civil servants,3,More communication and participation of the citizens
4/24/2023 17:04:53,45-54,Male,Employed full time,Bachelor’s degree,1,(2) Reduced work,3,3,4,4,4,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,4,4,5 Most,5 Most,5 Most,4,4,4,Weather forecast information,Social media channels,3,3,3,4,4,3,5,4,Change and Benefits brought by the smart city,"Social Media (Facebook, Twitter, etc), Government website",4,Free ice cream
4/24/2023 17:05:08,45-54,Male,Employed full time,Bachelor’s degree,1,(2) Reduced work,3,3,4,4,4,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,4,4,5 Most,5 Most,5 Most,4,4,4,Weather forecast information,Social media channels,3,3,3,4,4,3,5,4,Change and Benefits brought by the smart city,"Social Media (Facebook, Twitter, etc), Government website",4,Free ice cream
5/11/2023 16:40:18,55-64,Male,Employed full time,"Some high school, no diploma",2,(4) No impact,3,5 Very satisfied,5 Very satisfied,5 Very satisfied,5,4,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,2,2,2,2,2,2,2,2,Na,Na,3,3,3,3,3,3,5,5,Na,"Social Media (Facebook, Twitter, etc)",5,Na
5/22/2023 8:47:04,35-44,Female,Employed full time,Master’s degree,0,(4) No impact,3,4,4,3,2,3,every day,No,No,Yes,No,No,No,No,No,Agree,1 Least,1 Least,1 Least,1 Least,1 Least,1 Least,1 Least,1 Least,Helping a friend out with the survey,Yes. But it is not allowed in here,1 Least,3,3,3,3,1 Least,5,1,Money,Local community center (local MP),1,I’m not too sure
5/27/2023 12:29:05,25-34,Female,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",0,(4) No impact,3,1 Not applicable,1 Not applicable,1 Not applicable,5,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,1 Least,1 Least,1 Least,1 Least,1 Least,1 Least,1 Least,1 Least,Na,Na,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5,5,Na,Na,3,Na
5/27/2023 12:33:59,18-24,Male,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",1,(4) No impact,2,2 Not satisfied,2 Not satisfied,2 Not satisfied,3,3,twice a month,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,3,3,3,3,3,3,3,Nil ,Nil ,3,3,3,3,3,3,3,3,Nil,"Social Media (Facebook, Twitter, etc)",3,Nil
5/27/2023 12:59:45,18-24,Female,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",3,(2) Reduced work,3,4,4,4,4,5,every day,Yes,Maybe,Yes,Maybe,Yes,Maybe,Yes,Yes,Agree,3,3,5 Most,5 Most,5 Most,5 Most,5 Most,3,Better control of people moving around,Engaging citizen through video watching as not all citizens are willing and free to be physical.,3,4,3,5 Most,5 Most,3,5,4,Incentive given as well as dependency on jobs,"Social Media (Facebook, Twitter, etc), Government issued app, Local community center (local MP)",4,Be more aware of what the citizens really are in need of
5/27/2023 13:10:04,25-34,Male,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",1,(3) More work,3,4,4,4,4,4,more than twice a week,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Agree,4,4,5 Most,5 Most,5 Most,5 Most,5 Most,4,Nil,"projects where groups or neighbourhoods are included in innovation, or even startups given opportunities to launch solutions through the city platform and support",4,4,4,4,4,4,5,3,"Timing of the event, outcome and benefits ","Government issued app, Government website",4,Nil
5/27/2023 18:23:47,35-44,Male,Employed full time,Bachelor’s degree,1,(4) No impact,3,1 Not applicable,1 Not applicable,5 Very satisfied,5,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,3,,Be active,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5,5,Awareness,"Social Media (Facebook, Twitter, etc), Government issued app, Government website",5,Be involved
5/27/2023 18:24:17,45-54,Male,Employed full time,Bachelor’s degree,1,(2) Reduced work,4,5 Very satisfied,5 Very satisfied,5 Very satisfied,5,4,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,3,3,3,4,4,4,4,4,Work job Efficiency ,Digital apps with incentives,4,4,4,4,5 Most,3,5,5,Incentives,"Social Media (Facebook, Twitter, etc), Government issued app, Government website",4,Us eof digital apps with Incentives 
5/27/2023 18:25:41,18-24,Male,Employed full time,Bachelor’s degree,0,(4) No impact,3,4,4,4,5,5,once a month,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,4,4,4,4,4,4,4,Na,Make it easy to access,4,4,4,4,4,4,5,5,If they getxgood benefits,"Social Media (Facebook, Twitter, etc)",5,Make it environment friendly
5/28/2023 12:39:04,35-44,Female,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",4,(4) No impact,4,3,5 Very satisfied,5 Very satisfied,5,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,5 Most,4,4,5 Most,5 Most,5 Most,5 Most,3,,Good,3,3,3,3,3,3,4,4,Good ,Local community center (local MP),4,Good 
5/28/2023 12:42:16,25-34,Female,Employed full time,Nursery school to 8th grade,2,(4) No impact,2,2 Not satisfied,2 Not satisfied,2 Not satisfied,1,2,more than twice a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,3,3,3,3,3,3,3,3,Ok,Good,4,4,4,4,4,4,5,5,Easy,"Social Media (Facebook, Twitter, etc)",5,Easy
5/28/2023 13:04:00,45-54,Female,Employed full time,"Some college credit, no degree",1,(4) No impact,4,1 Not applicable,1 Not applicable,1 Not applicable,2,1,more than twice a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Neutral,1 Least,2,1 Least,1 Least,1 Least,1 Least,1 Least,1 Least,Easier to track easier to stop spreading ,Use token always,2,2,2,2,2,2,2,2,Health awareness ,"Social Media (Facebook, Twitter, etc)",1,Obedience 
5/28/2023 22:01:27,35-44,Female,Employed full time,Trade/technical/vocational training,1,(2) Reduced work,2,1 Not applicable,5 Very satisfied,5 Very satisfied,2,5,more than twice a week,Yes,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,Agree,4,2,5 Most,5 Most,5 Most,5 Most,1 Least,1 Least,Convink,Convenience ,5 Most,3,2,5 Most,5 Most,5 Most,3,3,More benifits,"Social Media (Facebook, Twitter, etc)",5,Via multimedia and thru contact
5/28/2023 22:13:21,35-44,Female,Employed full time,"High school graduate, diploma or the equivalent (for example: GED)",3,(2) Reduced work,3,4,5 Very satisfied,5 Very satisfied,5,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Agree,3,4,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,,Most prefered,5 Most,5 Most,5 Most,5 Most,5 Most,5 Most,5,5,Less time,"Social Media (Facebook, Twitter, etc)",4,"Join every activities
"
5/28/2023 23:02:13,45-54,Female,A homemaker,"Some college credit, no degree",2,(2) Reduced work,4,2 Not satisfied,3,3,4,5,every day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,4,4,4,4,4,4,4,4,To help our elderly for safety and good health care facilities.,They have own ideas of how yo improve the city’s ,4,4,4,4,4,4,5,5,They can share their opinion to create something good for the community.,"Government issued app, Government website, Local community center (local MP)",5,Unity 
5/28/2023 23:04:03,35-44,Female,Employed full time,"Some college credit, no degree",1,(2) Reduced work,4,1 Not applicable,1 Not applicable,1 Not applicable,5,4,twice a month,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,3,3,3,3,3,3,3,1 Least,,give more knowledge about covid so we can fight against virus,4,4,4,4,4,1 Least,5,5,joining to more knowledgeable activities,"Social Media (Facebook, Twitter, etc), Government issued app",5,must engage to knowledgeable activities
